,artist,track_name,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Matthew Halsall,Together,0.401,0.0236,6,-18.749,0,0.035,0.579,0.102,0.163,110.519,672520,4
1,Erroll Garner,Misty - Remastered 2020,0.327,0.145,5,-20.443,1,0.0397,0.884,0.091,0.136,178.966,167122,1
2,Edward Simon,Simplicity,0.493,0.107,2,-22.122,1,0.0336,0.906,0.122,0.126,91.326,309587,4
3,Al Foster,Our Son,0.482,0.101,8,-18.914,0,0.0333,0.00335,0.125,0.189,105.719,162280,4
4,Jeremy Pelt,Little Girl Blue,0.297,0.0805,5,-18.726,1,0.0355,0.947,0.0898,0.158,80.346,437720,3
5,Tingvall Trio,In Memory,0.416,0.111,5,-19.156,1,0.0299,0.702,0.102,0.0514,101.84,318865,4
6,Kamasi Washington,Song for Fraser,0.4,0.0763,0,-19.201,0,0.0571,0.828,0.106,0.173,59.235,140004,4
7,Rob Barron,A Time For Love,0.475,0.104,7,-21.265,0,0.0365,0.941,0.0966,0.122,115.003,388747,4
8,Gabriel Latchin Trio,Polka Dots and Moonbeams,0.576,0.132,2,-19.928,0,0.0399,0.898,0.122,0.122,63.078,329680,4
9,Scott Hamilton,Forelsket i København,0.385,0.1,2,-13.827,1,0.043,0.198,0.11,0.199,54.041,327307,4
10,Tim Garland,The Autumn Gate,0.261,0.185,9,-13.766,1,0.0353,0.725,0.0984,0.141,116.632,261067,3
11,John Rae,We Will Never Meet Again,0.476,0.104,9,-19.165,0,0.0348,0.0625,0.0801,0.238,84.93,257385,4
12,Ben Flocks,Ebb Tide,0.179,0.211,5,-11.936,1,0.0326,0.76,0.431,0.231,174.248,186080,3
13,Jeff Rupert,Detour Ahead,0.461,0.228,8,-12.875,1,0.0358,0.738,0.133,0.238,132.456,326413,4
14,Denis Solee,Summertime,0.326,0.156,2,-14.116,0,0.0307,0.676,0.171,0.159,75.458,292444,4
15,Joey Alexander,Tis Our Prayer,0.35,0.215,8,-14.659,1,0.0374,0.911,0.126,0.135,99.903,248667,4
16,Massimo Faraò Trio,Easy Living,0.523,0.188,5,-14.701,1,0.0345,0.597,0.285,0.0744,112.092,293253,4
17,Bill Charlap Trio,"Uptown, Downtown",0.592,0.231,6,-16.446,0,0.0371,0.911,0.0992,0.377,62.693,360354,4
18,Yoko Miwa Trio,Sunshine Follows the Rain,0.394,0.25,0,-16.804,0,0.0327,0.93,0.127,0.0903,115.451,608187,4
19,Trygve Seim,Ciaccona per Embrik,0.302,0.0166,7,-23.504,1,0.0475,0.0714,0.0737,0.235,69.904,360413,3
20,Enrico Pieranunzi,Silk Threads,0.462,0.115,9,-20.827,1,0.0535,0.891,0.0996,0.055,84.417,274673,4
21,Eric Reed,New Morning,0.374,0.118,2,-16.48,1,0.0365,0.829,0.083,0.0954,145.312,570787,5
22,Joshua Redman,Come What May,0.53,0.225,10,-13.663,0,0.0414,0.691,0.284,0.195,135.262,406920,4
23,Jim Snidero,I Fall in Love Too Easily,0.424,0.0301,0,-15.316,0,0.0483,0.0299,0.21,0.349,67.541,323640,4
24,Mark Sherman,Ev'rytime We Say Goodbye,0.448,0.275,8,-17.203,1,0.0348,0.872,0.141,0.119,119.37,427432,4
25,Steve Davis,Peace,0.442,0.0595,5,-18.279,1,0.0328,0.909,0.102,0.102,99.034,436000,4
26,Branford Marsalis Quartet,Cianna,0.563,0.451,3,-9.438,1,0.0317,0.835,0.129,0.47,99.868,452067,4
27,Paolo Fresu,The Silence of Your Heart,0.439,0.0554,3,-15.183,1,0.0349,0.00382,0.111,0.178,101.015,261415,4
28,Scott Hamilton,Young and Foolish,0.456,0.276,5,-7.419,1,0.0316,0.0525,0.0775,0.157,103.335,330615,4
29,Eddie Henderson,After You've Gone,0.382,0.158,10,-12.962,1,0.0466,0.823,0.127,0.314,46.95,424243,4
30,Jimmy Forrest,That's All,0.406,0.175,3,-17.018,1,0.0525,0.92,0.0841,0.436,180.707,293933,3
31,John Coltrane,I'll Wait and Pray,0.475,0.0588,5,-17.464,0,0.0418,0.0238,0.129,0.241,115.642,206360,4
32,Marcus Miller,For the Love of Freedom,0.538,0.0687,2,-17.993,0,0.0371,0.461,0.0854,0.132,103.808,152107,4
33,Scott Hamilton,The Shadow of Your Smile,0.487,0.135,2,-11.211,0,0.0434,0.00353,0.686,0.24,105.854,388347,5
