,artist,track_name,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,21 Savage,Mr. Right Now (feat. Drake),0.647,0.667,5,-5.563,1,0.304,0,0.133,0.704,172.08,193839,4
1,Money Man,24 (feat. Lil Baby),0.868,0.638,2,-7.746,1,0.0736,0.0565,0.0931,0.459,126.03,182857,4
2,Pop Smoke,For The Night (feat. Lil Baby & DaBaby),0.823,0.586,6,-6.606,0,0.2,0,0.193,0.347,125.971,190476,4
3,Gunna,DOLLAZ ON MY HEAD (feat. Young Thug),0.825,0.458,0,-7.47,1,0.0577,0,0.102,0.161,145.115,197760,4
4,Internet Money,"Lemonade (feat. Gunna, Don Toliver & NAV)",0.8,0.658,1,-6.142,0,0.079,0,0.111,0.462,140.042,195429,4
5,21 Savage,Runnin,0.819,0.626,10,-4.574,0,0.202,0.101,0.167,0.415,143.01,195906,4
6,Polo G,Martin & Gina,0.832,0.534,1,-7.813,0,0.253,0,0.165,0.116,93.924,132833,4
7,Drake,Laugh Now Cry Later (feat. Lil Durk),0.761,0.518,0,-8.871,1,0.134,3.47e-05,0.107,0.522,133.976,261493,4
8,Rod Wave,Rags2Riches 2 (feat. Lil Baby),0.874,0.443,5,-9.628,0,0.241,0,0.124,0.298,118.004,235988,4
9,DDG,Moonwalking in Calabasas (feat. Blueface) - Remix,0.928,0.341,11,-10.196,0,0.103,0,0.162,0.745,129.966,170233,4
10,NLE Choppa,Narrow Road (feat. Lil Baby),0.614,0.553,7,-8.225,1,0.169,0,0.203,0.161,159.999,240297,4
11,Big Sean,Wolves (feat. Post Malone),0.724,0.675,2,-5.267,1,0.0867,9.41e-06,0.351,0.325,160.048,199758,4
12,Internet Money,Blastoff (feat. Juice Wrld & Trippie Redd),0.761,0.517,5,-6.916,1,0.0927,0,0.157,0.46,147.912,174730,4
13,Travis Scott,FRANCHISE (feat. Young Thug & M.I.A.),0.835,0.699,8,-5.405,0,0.277,0,0.195,0.547,154.981,202795,4
14,Lil Eazzyy,Onna Come Up,0.793,0.571,1,-9.247,1,0.249,5.27e-06,0.101,0.616,150.052,128078,4
15,DJ Khaled,POPSTAR (feat. Drake),0.8,0.56,5,-4.818,0,0.261,0,0.134,0.45,163.071,200221,4
16,Trippie Redd,Sleepy Hollow,0.735,0.662,1,-7.862,1,0.05,0,0.153,0.124,87.999,101353,4
17,Pop Smoke,Got It On Me,0.688,0.647,2,-7.258,1,0.19,1.65e-05,0.095,0.195,88.834,164580,4
18,21 Savage,Glock In My Lap,0.847,0.733,10,-6.439,0,0.16,1.04e-05,0.151,0.202,130.029,193591,4
19,YoungBoy Never Broke Again,Kacey Talk,0.877,0.607,10,-7.818,0,0.15,0,0.138,0.773,127.055,151249,4
20,Lil Baby,We Paid (feat. 42 Dugg),0.926,0.542,1,-5.064,1,0.293,0,0.0877,0.564,135.14,181929,4
21,Saweetie,"Tap In (feat. Post Malone, DaBaby & Jack Harlow)",0.948,0.63,1,-7.011,1,0.219,2.02e-05,0.0737,0.425,100.032,253569,4
22,DaBaby,BLIND (feat. Young Thug),0.709,0.679,11,-6.503,0,0.346,0,0.0971,0.754,162.973,153467,4
23,Pop Smoke,The Woo (feat. 50 Cent & Roddy Ricch),0.49,0.618,1,-5.655,1,0.104,3.77e-06,0.259,0.286,99.7,201600,4
24,Juice WRLD,Conversations,0.747,0.622,11,-5.825,1,0.0838,0,0.151,0.57,159.93,181661,4
25,Mulatto,Muwop (feat. Gucci Mane),0.79,0.61,9,-6.958,0,0.102,0,0.243,0.62,145.88,200135,4
26,Gunna,RELENTLESS (feat. Lil Uzi Vert),0.881,0.517,4,-8.916,1,0.308,0,0.151,0.786,115.084,168107,4
27,DJ Khaled,GREECE (feat. Drake),0.695,0.343,5,-10.798,1,0.0432,1.04e-06,0.107,0.229,85.84,218902,4
28,YoungBoy Never Broke Again,My Window (feat. Lil Wayne),0.778,0.662,8,-6.081,0,0.308,0,0.116,0.571,149.935,192000,4
29,Tyla Yaweh,Stuntin' On You (feat. DaBaby),0.796,0.683,10,-5.165,0,0.277,2.58e-06,0.126,0.737,173.852,141123,3
30,Cardi B,WAP (feat. Megan Thee Stallion),0.935,0.454,1,-7.509,1,0.375,0,0.0824,0.357,133.073,187541,4
31,Moneybagg Yo,Said Sum,0.929,0.667,8,-6.789,0,0.353,0,0.1,0.274,126.998,155168,4
32,Rapsody,12 Problems,0.583,0.93,7,-4.262,1,0.379,1.56e-05,0.361,0.51,99.424,174528,3
33,Lil Tecca,When You Down (with Polo G feat. Lil Durk),0.514,0.634,1,-6.514,1,0.383,0,0.13,0.308,76.181,193013,4
34,Polo G,Epidemic,0.616,0.617,1,-8.431,1,0.52,0,0.177,0.476,175.929,177273,4
35,Future,Patek,0.801,0.596,1,-4.72,1,0.0534,0,0.162,0.134,120.028,280666,4
36,Megan Thee Stallion,Don’t Stop (feat. Young Thug),0.933,0.757,2,-3.212,1,0.117,0,0.135,0.544,137.993,187941,4
37,Rich The Kid,Too Blessed,0.906,0.351,7,-10.18,1,0.239,0,0.109,0.315,143.891,200000,4
38,Juice WRLD,Hate The Other Side (with Marshmello & The Kid Laroi),0.701,0.65,6,-6.313,1,0.104,0,0.112,0.647,90.003,160212,4
39,Cordae,Gifted (feat. Roddy Ricch),0.653,0.603,5,-5.697,0,0.171,0,0.18,0.551,151.016,168477,4
40,Big Sean,Lithuania (feat. Travis Scott),0.676,0.82,7,-5.217,1,0.0554,0,0.615,0.618,152.028,199250,4
41,BRS Kash,Throat Baby (Go Baby),0.9,0.521,4,-7.286,0,0.147,0,0.0951,0.213,132.007,218182,4
42,CHASE B,Cafeteria (feat. Gunna),0.696,0.672,6,-5.505,0,0.0875,0,0.368,0.581,139.991,214286,4
43,Lil Wayne,NFL (feat. Gudda Gudda & HoodyBaby),0.784,0.596,11,-5.808,0,0.311,0,0.465,0.361,129.949,210327,4
44,Lil Loaded,While I'm Here (feat. Polo G),0.682,0.879,8,-6.19,1,0.073,0,0.299,0.562,77.025,209425,4
45,BlocBoy JB,ChopBloc Pt. 3 (feat. NLE Choppa) - Pt. 3,0.73,0.618,1,-5.447,1,0.428,0,0.112,0.278,152.009,176889,4
46,Famous Dex,Solar System (feat. Trippie Redd),0.788,0.53,1,-5.543,1,0.146,0,0.121,0.195,113.343,158407,5
47,REASON,Favorite Ni**a,0.641,0.571,7,-7.772,0,0.768,0,0.516,0.426,142.064,124835,4
48,Benny The Butcher,Timeless (feat. Lil Wayne & Big Sean),0.57,0.962,10,-1.581,0,0.421,0,0.0748,0.754,170.634,232493,4
49,City Girls,Pussy Talk,0.943,0.641,1,-5.598,1,0.191,0,0.211,0.242,99.099,218333,4
