,artist,track_name,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Led Zeppelin,Whole Lotta Love - 1990 Remaster,0.412,0.902,9,-11.6,1,0.405,0.131,0.405,0.422,89.74,333893,4
1,Jimi Hendrix,All Along the Watchtower,0.438,0.805,8,-6.237,1,0.0624,5.69e-05,0.0842,0.564,113.253,240800,4
2,AC/DC,Back In Black,0.31,0.7,9,-5.678,1,0.047,0.00965,0.0828,0.763,188.386,255493,4
3,The Rolling Stones,"Paint It, Black - Mono",0.505,0.836,5,-7.384,0,0.101,0.0771,0.295,0.764,159.669,204480,4
4,David Bowie,Rebel Rebel - 1999 Remaster,0.676,0.92,9,-7.96,1,0.0435,8.65e-06,0.248,0.624,126.341,269360,4
5,The Beatles,Come Together - Remastered 2009,0.533,0.376,9,-11.913,0,0.0393,0.248,0.0926,0.187,165.007,259947,4
6,The Clash,Should I Stay or Should I Go - Remastered,0.742,0.833,2,-6.463,1,0.115,0.0,0.384,0.816,113.375,188987,4
7,The Who,Baba O'Riley,0.489,0.724,5,-8.367,1,0.0352,0.185,0.287,0.15,117.292,300400,4
8,Aerosmith,Sweet Emotion,0.38,0.76,9,-10.961,1,0.0378,0.0294,0.104,0.491,99.437,274133,4
9,Queen,Another One Bites The Dust - Remastered 2011,0.933,0.528,5,-6.472,0,0.162,0.329,0.163,0.756,109.975,214653,4
10,The Doors,Light My Fire,0.413,0.725,3,-5.787,0,0.0324,2.16e-05,0.0905,0.44,124.618,429760,4
11,ZZ Top,La Grange - 2005 Remaster,0.545,0.64,4,-9.937,0,0.224,0.0304,0.196,0.606,80.544,230480,4
12,Tom Petty and the Heartbreakers,American Girl,0.55,0.824,2,-5.988,1,0.0334,0.000127,0.366,0.777,114.512,214733,4
13,Guns N' Roses,Paradise City,0.273,0.952,11,-8.762,1,0.0843,0.0111,0.142,0.472,100.271,405640,4
14,The Animals,House Of The Rising Sun,0.315,0.534,9,-7.552,0,0.031,0.108,0.101,0.283,116.891,269720,3
15,Bob Dylan,Like a Rolling Stone,0.483,0.721,0,-6.836,1,0.032,0.0,0.189,0.562,95.261,369600,4
16,Cream,Sunshine Of Your Love,0.683,0.594,2,-8.289,1,0.0347,8.61e-05,0.121,0.734,115.099,250400,4
17,Lynyrd Skynyrd,Sweet Home Alabama,0.597,0.605,7,-12.013,1,0.0255,0.000331,0.118,0.886,97.782,281147,4
18,Creedence Clearwater Revival,Fortunate Son,0.64,0.663,0,-7.516,1,0.0374,0.00806,0.152,0.663,132.77,140773,4
19,Pink Floyd,"Another Brick in the Wall, Pt. 2",0.694,0.394,0,-15.881,1,0.0428,0.000677,0.247,0.719,104.126,238747,4
20,Fleetwood Mac,The Chain,0.546,0.529,9,-13.6,1,0.0436,0.000567,0.0383,0.574,151.727,271000,4
21,Janis Joplin,Me and Bobby McGee,0.453,0.464,2,-10.96,1,0.0431,5.96e-05,0.152,0.658,93.19,271333,4
22,Eagles,Hotel California - 2013 Remaster,0.579,0.508,2,-9.484,1,0.027,0.000494,0.0575,0.609,147.125,391376,4
23,Steve Miller Band,The Joker,0.596,0.448,5,-9.616,1,0.0396,5.3e-06,0.206,0.796,83.293,264504,4
24,Steppenwolf,Born To Be Wild,0.438,0.71,2,-12.412,1,0.0919,0.537,0.221,0.53,145.928,210373,4
25,Buffalo Springfield,For What It's Worth,0.653,0.519,2,-10.164,1,0.0497,0.0209,0.101,0.822,98.883,153693,4
26,Boston,More Than a Feeling,0.377,0.682,7,-8.039,1,0.0299,0.00217,0.0504,0.288,108.736,285133,4
27,Dire Straits,Sultans of Swing,0.73,0.868,5,-7.325,1,0.0288,0.0661,0.318,0.923,148.217,350400,4
28,Jefferson Airplane,Somebody to Love,0.504,0.578,4,-9.302,1,0.031,0.0,0.321,0.654,132.411,174840,4
29,Lou Reed,Walk On the Wild Side,0.575,0.318,0,-16.729,1,0.109,0.000202,0.0934,0.385,104.522,254173,4
30,KISS,Rock And Roll All Nite,0.654,0.929,1,-5.906,1,0.0998,0.0,0.0539,0.902,144.774,168840,4
31,Rush,Tom Sawyer,0.536,0.901,9,-7.211,1,0.0374,0.0186,0.06,0.666,87.559,276880,4
32,Queen,Under Pressure - Remastered,0.663,0.712,2,-7.268,1,0.0479,0.0,0.0804,0.527,113.439,236520,4
33,Prince,When Doves Cry,0.729,0.989,9,-4.613,0,0.049,4.45e-05,0.443,0.84,126.47,352906,4
34,The Police,Every Breath You Take - Remastered 2003,0.813,0.46,1,-9.78,1,0.0346,0.0105,0.0724,0.729,117.387,253887,4
35,Blue Öyster Cult,(Don't Fear) The Reaper,0.333,0.927,9,-8.55,0,0.0733,0.000211,0.297,0.382,141.47,308120,4
36,America,A Horse with No Name,0.654,0.506,11,-17.18,0,0.0535,0.0155,0.155,0.831,123.179,252240,4
37,Elton John,"Rocket Man (I Think It's Going To Be A Long, Long Time)",0.601,0.532,10,-9.119,1,0.0286,6.25e-06,0.0925,0.341,136.571,281613,4
38,Cheap Trick,I Want You to Want Me,0.806,0.462,2,-12.778,1,0.0298,0.0134,0.15,0.736,92.726,191227,4
39,Led Zeppelin,Kashmir - Remaster,0.483,0.615,2,-8.538,1,0.0497,0.000414,0.0512,0.594,80.576,517125,3
40,Aerosmith,Dream On,0.307,0.433,1,-10.057,1,0.029,9.08e-05,0.332,0.224,160.9,266960,4
